code,survey,lib
lvho04n,EUSILC,RDB2
lvph01,EUSILC,RDB2
lvph02,EUSILC,RDB2
lvph02h,ECHP,.
lvph03,EUSILC,RDB2
lvph04,EUSILC,RDB2
lvph05,EUSILC,RDB2
lvps01,EUSILC,RDB2
lvps02,EUSILC,RDB2
lvps03,EUSILC,RDB2
lvps04,EUSILC,RDB2
lvps08,EUSILC,RDB2
lvps09,EUSILC,RDB2
lvps10,EUSILC,RDB2
lvps15,EUSILC,RDB2
lvps16,EUSILC,RDB2
lvps20,EUSILC,RDB2
lvps25,EUSILC,RDB2
lvps30,EUSILC,RDB2
mddd01,EUSILC,RDB2
mddd02,EUSILC,RDB2
mddd03,EUSILC,RDB2
mddd04a,EUSILC,RDB2
mddd04B,EUSILC,RDB2
mddd05,EUSILC,RDB2
mddd23,EUSILC,RDB2
mddd97,EUSILC,RDB2
mddu01,EUSILC,RDB2
mddu02,EUSILC,RDB2
mddu03,EUSILC,RDB2
mddu04,EUSILC,RDB2
mddu05,EUSILC,RDB2
mddu06a,EUSILC,RDB2
mddu06b,EUSILC,RDB2
mddu07a,EUSILC,RDB2
mddu07b,EUSILC,RDB2
mddw01,EUSILC,RDB2
mddw02,EUSILC,RDB2
mddw03,EUSILC,RDB2
mddw04,EUSILC,RDB2
mddw05,EUSILC,RDB2
mddw06,EUSILC,RDB2
mded01,EUSILC,RDB2
mded02,EUSILC,RDB2
mded03,EUSILC,RDB2
mded04,EUSILC,RDB2
mded05,EUSILC,RDB2
mdes01,EUSILC,RDB2
mdes02,EUSILC,RDB2
mdes03,EUSILC,RDB2
mdes04,EUSILC,RDB2
mdes05,EUSILC,RDB2
mdes06,EUSILC,RDB2
mdes07,EUSILC,RDB2
mdes08,EUSILC,RDB2
mdes09,EUSILC,RDB2
mdes10a,EUSILC,RDB2
mdes10b,EUSILC,RDB2
mdes11a,EUSILC,RDB2
mdes11b,EUSILC,RDB2
mdes12a,EUSILC,RDB2
mdes12b,EUSILC,RDB2
mdes13a,EUSILC,RDB2
mdes13b,EUSILC,RDB2
mdho01,EUSILC,RDB2
mdho01c,EUSILC,RDB2
mdho02,EUSILC,RDB2
mdho02c,EUSILC,RDB2
mdho03,EUSILC,RDB2
mdho03c,EUSILC,RDB2
mdho04,EUSILC,RDB2
mdho04c,EUSILC,RDB2
mdho07,EUSILC,RDB2
peps13,EUSILC,RDB2
peps97,EUSILC,RDB2
pw01,EUSILC,RDB2
pw02,EUSILC,RDB2
pw03,EUSILC,RDB2
pw04,EUSILC,RDB2
pw05,EUSILC,RDB2
pw06,EUSILC,RDB2
pw07,EUSILC,RDB2
pw08,EUSILC,RDB2
pw09,EUSILC,RDB2
hlth_silc_18,EUSILC,RDB2
hlth_silc_19,EUSILC,RDB2
hlth_silc_20,EUSILC,RDB2
hlth_silc_21,EUSILC,RDB2
hlth_silc_22,EUSILC,RDB2
li21,EUSILC,LDB
li23,EUSILC,LDB
li24,EUSILC,LDB
li51,EUSILC,LDB
lvhl30,EUSILC,LDB
lvhl32,EUSILC,LDB
lvhl33,EUSILC,LDB
lvhl34,EUSILC,LDB
lvhl35,EUSILC,LDB
di30a,EUSILC,LDB
di30b,EUSILC,LDB
di30c,EUSILC,LDB
E_MDDD11,EUSILC,EDB
E_MDDD13,EUSILC,EDB
E_MDES01,EUSILC,EDB
E_MDES02,EUSILC,EDB
E_MDES03,EUSILC,EDB
E_MDES04,EUSILC,EDB
E_MDES05,EUSILC,EDB
E_MDES09,EUSILC,EDB
E_MDDU01,EUSILC,EDB
E_MDDU02,EUSILC,EDB
E_MDDU03,EUSILC,EDB
E_MDDU04,EUSILC,EDB
E_MDDU05,EUSILC,EDB
